objective,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
random,20260812,20300817,0.05624383648774659,0.06653098795122507,0.053385029694136506,0.3721795940509073,0.514658085976517,0.0018235612565296378,0.07233171285191019
random,20260812,20300818,0.07127166411143342,0.09019977120535605,0.07223407545813965,0.37684340007721595,0.514658085976517,0.0018235612565311494,0.06739454581788956
random,20260812,20300819,0.05862785173972196,0.08419771843056663,0.06811683217707946,0.37650858209073673,0.514658085976517,0.0018235612565316514,0.058682004585626196
full_phi5,20260812,20300810,0.0828038681976109,0.09720819813349701,0.0835292376290494,0.3466113681693153,0.2627230825811247,0.0014386517970151704,0.08229013484955598
full_phi5,20260812,20300811,0.09977796234582,0.08085245598937783,0.08405519172607746,0.34715013365955055,0.2627230825811247,0.0014386901656685794,0.08789003929191293
full_phi5,20260812,20300812,0.0900230861659189,0.08106584733273405,0.08993525230944423,0.3495642637592384,0.2627230825811247,0.001438604796320022,0.11299286029922263
full_phi5,20260812,20300813,0.0836763915271525,0.10562085219130701,0.11072632638172214,0.35453782758868957,0.2627230825811247,0.0014386649297377808,0.08741797928202118
full_phi5,20260812,20300814,0.07673984059474723,0.08176461879706894,0.08353864569658868,0.3485484718370324,0.2627230825811247,0.001438632945427389,0.08938920935156348
full_phi5,20260812,20300815,0.07211709818981178,0.07159507894254241,0.07421461826186086,0.34937288105600867,0.2627230825811247,0.0014386565864489033,0.09701693926456784
full_phi5,20260812,20300816,0.08025431219383418,0.07881531863266136,0.06751695086501273,0.35045560520804375,0.2627230825811247,0.0014386212409217233,0.08609696099587238
full_phi5,20260812,20300817,0.08323014200815614,0.07494884098345822,0.06588041011996737,0.3505907286613862,0.2627230825811247,0.0014386430958306345,0.08296953590585672
full_phi5,20260812,20300818,0.09536489552814806,0.09315548861231036,0.0933071574115441,0.3482223958110742,0.2627230825811247,0.0014386194665960855,0.08944398547319969
full_phi5,20260812,20300819,0.07074254096060388,0.07572929184912937,0.07259971531653472,0.35260510885016083,0.2627230825811247,0.0014385841717800205,0.08295762903384936
info,20260813,20300810,0.06618796548268707,0.13770828724929837,0.1369253544107924,0.4186976168459423,0.5188217623779976,0.001748564641129589,0.03794161926512732
info,20260813,20300811,0.07709714502354659,0.12779465782735477,0.12715600662981907,0.4134482403822233,0.5188217623779976,0.001748564641129935,0.054979349663944244
info,20260813,20300812,0.07563518641343352,0.13212684029176006,0.13144268137304407,0.4153799688618475,0.5188217623779976,0.001748564641129666,0.051984999529314756
info,20260813,20300813,0.060427829785937553,0.09374614645828538,0.09300097359192479,0.41089663031136736,0.5188217623779976,0.0017485646411291935,0.04583359978404439
