design_index,design_id,source_time_index,day,production_case_valid,diagnostic_reasons,full_action_density,tangent_action_density,log_action_robust_z_score,maximum_relative_rank_action_change,scaled_weak_relative_residual,compatibility_relative_residual,adaptive_quadrature_required,adaptive_quadrature_valid,density_modified,operator_floor,final_test_accessed
65,design_000065,26,6.499999999999999,False,rank_sensitivity,77398865.95764449,1524253.2312299204,3.2189590262528784,0.15988730086388067,1.302501465557234e-21,6.071183655547586e-16,False,False,False,0.0,False
65,design_000065,27,6.75,False,rank_sensitivity,55876551.80929101,1113007.9364740911,1.801437897830842,0.08471585123396043,0.0,6.768376270595334e-16,False,False,False,0.0,False
74,design_000074,26,6.499999999999999,False,rank_sensitivity,404824038.3899695,33300335.235766333,5.286947606825224,0.16171836734749082,7.625484533965047e-23,9.552915611815891e-17,False,False,False,0.0,False
83,design_000083,6,1.5,False,rank_sensitivity,7944069.005177089,2075005.3945182161,0.3861994013189444,0.19220038404822154,4.953526196786449e-21,1.4473886737571266e-14,True,True,False,0.0,False
83,design_000083,7,1.75,False,rank_sensitivity,11007020.540831601,2335688.7438727776,0.3045013081051868,0.22954087975854207,0.0,1.6184836387344895e-14,True,True,False,0.0,False
83,design_000083,8,2.0,False,rank_sensitivity,13628381.446454464,2754281.087692626,0.1703062340387468,0.2306726677744612,0.0,1.8776875598163763e-14,True,True,False,0.0,False
83,design_000083,9,2.25,False,rank_sensitivity,14149600.15367746,3370121.4093933236,0.1571261278034865,0.18307183787039352,5.663413082828879e-20,3.988009827604202e-15,True,True,False,0.0,False
83,design_000083,10,2.5,False,rank_sensitivity,11974632.438125845,4337574.479417549,0.04965171119278913,0.1150439861169527,2.929619181326289e-21,4.841413988224376e-15,False,False,False,0.0,False
83,design_000083,12,3.0,False,rank_sensitivity,72481466.831297,12284367.109984197,2.3044095658616865,0.2263789105838813,4.3497133337643104e-20,8.239138474979662e-16,False,False,False,0.0,False
83,design_000083,13,3.2499999999999996,False,rank_sensitivity,23333828.033686284,7004681.804726205,1.2962644489886637,0.09950117122263874,4.2792795893912607e-20,1.6457120382430732e-15,False,False,False,0.0,False
83,design_000083,17,4.25,False,rank_sensitivity,13175872.786965081,4793553.389931799,0.5161678215591965,0.058853008393503055,4.0345813699596866e-20,5.84741275967363e-16,False,False,False,0.0,False
83,design_000083,18,4.5,False,rank_sensitivity,9270311.196113158,4507472.45380979,0.0471619273023458,0.1280402354910565,4.276703652535703e-20,7.427152504531708e-16,False,False,False,0.0,False
83,design_000083,136,34.0,False,tangent_full_inequality,92627.4117541178,93696.15089421597,1.6764881963908098,0.0,2.8144332646733606e-20,1.2791856453975972e-16,False,False,False,0.0,False
83,design_000083,137,34.25,False,tangent_full_inequality,93006.38389943822,93584.82330403724,1.7465575957677113,0.0,2.739280857062098e-20,4.1369153291397926e-16,False,False,False,0.0,False
85,design_000085,11,2.75,False,rank_sensitivity,413863891.788483,72184758.5826493,3.6360601905317456,0.05137831027359177,4.485992442005914e-22,3.975709457799011e-16,False,False,False,0.0,False
85,design_000085,12,3.0,False,rank_sensitivity,1023954432.8288246,109091163.77248625,5.249277674169069,0.08474516784113804,1.2896789711989192e-20,1.5447463767474216e-16,False,False,False,0.0,False
85,design_000085,13,3.2499999999999996,False,rank_sensitivity,868529727.1661968,72536014.47274005,5.8392361091764355,0.07721166735916442,1.9051838203975728e-20,7.776307334930035e-15,False,False,False,0.0,False
85,design_000085,21,5.25,False,rank_sensitivity,11099564.3250199,3145768.5292065367,0.41974993401755734,0.13851387828286768,2.986582014297163e-23,2.2539340134758205e-15,False,False,False,0.0,False
85,design_000085,22,5.5,False,rank_sensitivity,9968636.69591848,1868430.9889554323,0.5604615863522566,0.1507091702163707,7.729602587502116e-21,1.3316233156970353e-15,False,False,False,0.0,False
85,design_000085,23,5.75,False,rank_sensitivity,9401762.93889599,1578448.9350618378,0.4431570642530667,0.13320713259463968,1.5440668017121327e-20,2.123555156239062e-15,False,False,False,0.0,False
85,design_000085,24,6.0,False,rank_sensitivity,8950084.763961818,1564326.999214688,0.40484235283285275,0.051633573306916765,1.531372576746333e-20,5.240244652737943e-16,False,False,False,0.0,False
85,design_000085,25,6.25,False,rank_sensitivity,8319322.279911584,1645913.8153790706,0.5338441372520608,0.05616249442552679,5.949359307080865e-23,1.5582836912941639e-15,False,False,False,0.0,False
85,design_000085,26,6.499999999999999,False,rank_sensitivity,7683305.444441888,1766435.430392656,0.33171238568117156,0.05677125999492328,1.3439144186857272e-21,1.1771497999753603e-16,False,False,False,0.0,False
85,design_000085,27,6.75,False,rank_sensitivity,7054490.13624852,1903745.5426626257,0.07976419440767524,0.05404680487387405,1.527763292909175e-20,3.726001657995124e-16,False,False,False,0.0,False
88,design_000088,16,4.0,False,rank_sensitivity;log_action_outlier,946576670.5285858,20061555.98957001,6.428833668890663,0.4991166962822005,1.2014674955220046e-20,3.3263513629364182e-15,False,False,False,0.0,False
88,design_000088,17,4.25,False,rank_sensitivity,398940010.2996767,5571608.479047699,5.171205225027649,0.5855640512377325,1.4742051780352512e-21,6.21818674708366e-16,False,False,False,0.0,False
88,design_000088,18,4.5,False,rank_sensitivity,229872971.54132587,3198487.480126568,4.129684153236088,0.5475348086133213,0.0,3.03511703055816e-16,False,False,False,0.0,False
88,design_000088,19,4.75,False,rank_sensitivity,147638627.61682665,2345616.478148328,3.6865836884648693,0.498006355574576,0.0,1.5314184513011979e-15,False,False,False,0.0,False
88,design_000088,20,5.0,False,rank_sensitivity,98877713.8669024,1923939.5383524194,3.194288196806732,0.4588388315120173,1.4707587173448038e-20,3.0395037675436436e-15,False,False,False,0.0,False
88,design_000088,21,5.25,False,rank_sensitivity,104019195.79646246,1679907.7182939649,3.2354330748156888,0.5811299129014074,1.745950738728525e-20,5.241254431868292e-16,False,False,False,0.0,False
88,design_000088,22,5.5,False,rank_sensitivity,62950905.26224571,1549596.2859925665,3.616236580427242,0.5001988086932844,3.499493288312099e-20,8.425002750016412e-16,False,False,False,0.0,False
88,design_000088,23,5.75,False,rank_sensitivity,38491555.39673108,1513370.0949272853,2.7670121036607074,0.4012591150581139,4.732687876167986e-22,4.35262095190144e-16,False,False,False,0.0,False
88,design_000088,24,6.0,False,rank_sensitivity,24853822.896720223,1562116.3214836544,1.9141483182494574,0.17527163985928745,2.865770809959617e-20,7.957389806743507e-16,False,False,False,0.0,False
88,design_000088,25,6.25,False,rank_sensitivity,17859816.20188426,1679215.655281525,1.7808461989896724,0.10942995437578472,2.7134456687130576e-20,6.501830862833021e-16,False,False,False,0.0,False
88,design_000088,26,6.499999999999999,False,rank_sensitivity,14381228.330676313,1839958.0562967835,1.115262390133695,0.06586497446520213,0.0,6.696281853451076e-16,False,False,False,0.0,False
105,design_000105,31,7.75,False,rank_sensitivity,169744142.88455653,11639027.187440956,3.5428906056376004,0.14998041555010638,1.93092070133874e-23,8.839839860746341e-16,False,False,False,0.0,False
121,design_000121,12,3.0,False,rank_sensitivity,4948405.214463727,176435.1922868317,0.6806811598221236,0.06342776887293113,9.613115393495834e-21,2.100787979896058e-15,False,False,False,0.0,False
121,design_000121,34,8.5,False,tangent_full_inequality,12265284.53256294,29489416.925481346,1.1627085101100674,0.002815925251732303,3.148608735023519e-20,2.4575273790551478e-15,False,False,False,0.0,False
